company|company_location|awarded|contract_reason|performance_location|estimated_completion_date|activity_group|activity_group_location|activity_code|contract_type|is_modification
Beechcraft Defense Co.|Wichita, Kansas|60523373|Joint Primary Aircraft Training System (T-6) program management and sustainment engineering|Wichita, Kansas|April 30, 2021|Air Force Life Cycle Management Center|Wright-Patterson Air Force Base, Ohio|FA8617-17-C-6211|Firm-Fixed-Price, Cost-Plus-Fixed-Fee|False
Huntington Ingalls Inc.|Pascagoula, Mississippi|7016664|Post-delivery planning yard services in support of the LHA-7 amphibious assault ship|Pascagoula, Mississippi|August 2020|Naval Sea Systems Command|Washington, District of Columbia|N00024-17-C-2473|Cost-Plus-Fixed Fee|False
Pond Constructors|Norcross, Georgia|9634613|Recurring maintenance and minor repair for Defense Logistics Agency capitalized equipment and appurtenances|Honolulu, Hawaii; Japan; British Indian Ocean Territory|April 13, 2022|U.S. Army Corps of Engineers|Huntsville, Alabama|W912DY-13-G-0004|Modification|True
The Boeing Co.|Huntington Beach, California|7576425|Continued support for a research project under the Hydra Phase 2 program|Huntington Beach, California; Santa Fe Springs, California; Anaheim, California; Attleboro, Massachusetts; Long Beach, California; Placentia, California; Huntsville, Alabama; Garden Grove, California|January 2019|Defense Advanced Research Projects Agency|Arlington, Virginia|HR0011-16-C-0114|Cost-Plus-Fixed-Fee|True
URS Federal Services Inc.|Germantown, Maryland|74999999|Warehousing and distribution support services|Maryland; Utah|April 30, 2022|Defense Logistics Agency Distribution|New Cumberland, Pennsylvania|SP3300-17-D-5001|Hybrid Fixed-Price Incentive Firm Target, Cost Reimbursement No Fee, Cost-Plus-Fixed-Fee, Firm-Fixed-Price|False
VIASAT Inc.|Carlsbad, California|13680000|Production of ground transceivers for the Blue Force Tracker 2 program|Contractor’s facility|April 2018|Defense Information Technology Contracting Organization|Scott Air Force Base, Illinois|HC1028-17-C-0010|Firm-Fixed-Price|False
Leidos Inc.|Reston, Virginia|8062880|Investigate, develop and ultimately transition nonlinear transmission line (NLTL) or other solid-state-based high-power electromagnetics weapon concepts|Kirtland Air Force Base, New Mexico|December 2026|Air Force Research Laboratory|Kirtland AFB, New Mexico|FA9451-23-C-A003|Cost-Plus-Fixed-Fee|False
Lockheed Martin Aeronautics Co.|Fort Worth, Texas|24432476|Maintenance and support of F-35 chase aircraft necessary to support F-35 aircraft acceptance and delivery|Fort Worth, Texas|December 2023|Naval Air Systems Command|Patuxent River, Maryland|N0001922D0024|Cost-Plus-Fixed-Fee|True
Outdoor Venture Corp.|Stearns, Kentucky|76701761|Military standard tents and components|Various locations|August 31, 2025|Defense Logistics Agency Troop Support|Philadelphia, Pennsylvania|SPE1C1-23-D-0002|Firm-Fixed-Price, Indefinite-Delivery/Indefinite-Quantity|False
Pfizer Inc.|New York, New York|1959999848|Oral therapeutic Paxlovid|New York, New York|December 31, 2028|U.S. Army Contracting Command|New Jersey|W58P05-22-C-0001|Modification|True
USA Environmental Inc.|Oldsmar, Florida|95000000|Range sustainment and remediation services for Naval Facilities Engineering Systems Command (NAVFAC) Southwest|California; Arizona; various locations within the U.S.|Not specified|Naval Facilities Engineering Systems Command Southwest|San Diego, California|N62473-23-D-2211|Firm-Fixed-Price, Indefinite-Delivery/Indefinite-Quantity|False
USA Environmental Inc.|Oldsmar, Florida|95000000|Munitions response services for projects at various locations within the Naval Facilities Engineering Systems Command (NAVFAC) Atlantic area of responsibility|Vieques, Puerto Rico; Hawaii; Washington; North Carolina; Virginia; Florida|December 2027|Naval Facilities Engineering Systems Command Atlantic|Norfolk, Virginia|N62470-23-D-0002|Cost-Plus-Award-Fee, Indefinite-Delivery/Indefinite-Quantity|False
Alliant Techsystems Operations LLC|Rocket Center, West Virginia|67000000|Production of SR-116 rocket motors for the AIM-9P rocket|Rocket Center, West Virginia|February 27, 2022|Robins Air Logistics Center|Robins Air Force Base, Georgia|FA8520-17-D-0002|Indefinite-Delivery/Indefinite-Quantity|False
Defense Acquisition Support Services LLC|Long Branch, New Jersey|15282334|Support services to U.S. Army Communications and Electronics Command|Aberdeen, Maryland|September 1, 2020|U.S. Army Contracting Command|Aberdeen, Maryland|W56KGY-17-C-0007|Cost-Plus-Fixed-Fee|False
Hitachi Aloka Medical America Inc.|Wallingford, Connecticut|162760750|Radiology systems, accessories and training|Connecticut|February 28, 2022|Defense Logistics Agency Troop Support|Philadelphia, Pennsylvania|SPE2D1-17-D-0024|Firm-Fixed-Price, Indefinite-Delivery/Indefinite-Quantity|False
