company	company_location	awarded	contract_reason	estimated_completion_date	activity_group	activity_code	contract_type
Beechcraft Defense Co.	Wichita, Kansas	60523373	Joint Primary Aircraft Training System (T-6) program management and sustainment engineering	April 30, 2021	Air Force Life Cycle Management Center	FA8617-17-C-6211	Firm-Fixed-Price, Cost-Plus-Fixed-Fee
Huntington Ingalls Inc.	Pascagoula, Mississippi	7016664	Post-delivery planning yard services in support of the LHA-7 amphibious assault ship	August 2020	Naval Sea Systems Command	N00024-17-C-2473	Cost-Plus-Fixed Fee
Pond Constructors	Norcross, Georgia	9634613	Recurring maintenance and minor repair for Defense Logistics Agency capitalized equipment and appurtenances	April 13, 2022	U.S. Army Corps of Engineers	W912DY-13-G-0004	Modification
The Boeing Co.	Huntington Beach, California	7576425	Continued support for a research project under the Hydra Phase 2 program	January 2019	Defense Advanced Research Projects Agency	HR0011-16-C-0114	Cost-Plus-Fixed-Fee
URS Federal Services Inc.	Germantown, Maryland	74999999	Warehousing and distribution support services	April 30, 2022	Defense Logistics Agency Distribution	SP3300-17-D-5001	Hybrid Fixed-Price Incentive Firm Target, Cost Reimbursement No Fee, Cost-Plus-Fixed-Fee, Firm-Fixed-Price
VIASAT Inc.	Carlsbad, California	13680000	Production of ground transceivers for the Blue Force Tracker 2 program	April 2018	Defense Information Technology Contracting Organization	HC1028-17-C-0010	Firm-Fixed-Price
Leidos Inc.	Reston, Virginia	8062880	Investigate, develop and ultimately transition nonlinear transmission line (NLTL) or other solid-state-based high-power electromagnetics weapon concepts	December 2026	Air Force Research Laboratory	FA9451-23-C-A003	Cost-Plus-Fixed-Fee
Lockheed Martin Aeronautics Co.	Fort Worth, Texas	24432476	Maintenance and support of F-35 chase aircraft necessary to support F-35 aircraft acceptance and delivery	December 2023	Naval Air Systems Command	N0001922D0024	Cost-Plus-Fixed-Fee
Outdoor Venture Corp.	Stearns, Kentucky	76701761	Military standard tents and components	August 31, 2025	Defense Logistics Agency Troop Support	SPE1C1-23-D-0002	Firm-Fixed-Price, Indefinite-Delivery/Indefinite-Quantity
Pfizer Inc.	New York, New York	1959999848	Oral therapeutic Paxlovid	December 31, 2028	U.S. Army Contracting Command	W58P05-22-C-0001	Modification
USA Environmental Inc.	Oldsmar, Florida	95000000	Range sustainment and remediation services for Naval Facilities Engineering Systems Command (NAVFAC) Southwest	Not specified	Naval Facilities Engineering Systems Command Southwest	N62473-23-D-2211	Firm-Fixed-Price, Indefinite-Delivery/Indefinite-Quantity
USA Environmental Inc.	Oldsmar, Florida	95000000	Munitions response services for projects at various locations within the Naval Facilities Engineering Systems Command (NAVFAC) Atlantic area of responsibility	December 2027	Naval Facilities Engineering Systems Command Atlantic	N62470-23-D-0002	Cost-Plus-Award-Fee, Indefinite-Delivery/Indefinite-Quantity
Alliant Techsystems Operations LLC	Rocket Center, West Virginia	67000000	Production of SR-116 rocket motors for the AIM-9P rocket	M28B2 percussion primer	Robins Air Logistics Center	FA8520-17-D-0002	Indefinite-Delivery/Indefinite-Quantity
Day and Zimmermann Lone Star LLC	Texarkana, Texas	39231530	Support services to U.S. Army Communications and Electronics Command	March 1, 2023	U.S. Army Contracting Command	W52P1J-17-D-0027	Firm-Fixed-Price
Hitachi Aloka Medical America Inc.	Wallingford, Connecticut	162760750	Radiology systems, accessories and training	February 28, 2022	Defense Logistics Agency Troop Support	SPE2D1-17-D-0024	Firm-Fixed-Price, Indefinite-Delivery/Indefinite-Quantity
